,e,i,r,i0,r0,e->i_mean,e->i_dispersion,e->i_prob,e->i0_mean,e->i0_dispersion,e->i0_prob,i->r_mean,i->r_dispersion,i->r_prob,i0->r0_mean,i0->r0_dispersion,i0->r0_prob,s->e:i_R_0,s->e:i0_R_0,passive_watcher,is_difference,compartments,eta_threshold,q_estimated,realizations,0.025 left,0.025 sample,0.025 right,0.05 left,0.05 sample,0.05 right,0.5 left,0.5 sample,0.5 right,0.95 left,0.95 sample,0.95 right,0.975 left,0.975 sample,0.975 right
0,1,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.3,1.0,5.5,0.3,1.0,2.0,2.0,integer_times,1,i+r,29,0.7358341038171972,10000,62.0,63.0,63.0,65.0,66.0,66.0,89.0,89.0,90.0,126.0,127.0,128.0,137.0,139.0,141.97500000000036
1,1,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.3,1.0,5.5,0.3,1.0,3.0,3.0,integer_times,1,i+r,29,0.6250749850029994,10000,38.0,38.0,38.0,40.0,40.0,40.0,52.0,52.0,52.0,70.0,71.0,71.0,76.0,77.0,78.0
2,1,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.7,1.0,5.5,0.7,1.0,2.0,2.0,integer_times,1,i+r,29,0.5702806067637832,10000,49.0,50.0,50.0,53.0,53.0,54.0,69.0,69.0,70.0,97.0,98.0,100.0,104.0,106.0,108.0
3,1,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.7,1.0,5.5,0.7,1.0,3.0,3.0,integer_times,1,i+r,29,0.4179617018799837,10000,32.0,32.0,32.0,33.0,33.0,33.0,41.0,42.0,42.0,58.0,58.0,59.0,61.0,62.0,62.0
4,1,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.3,1.0,5.5,0.3,1.0,2.0,2.0,integer_times,1,i+r,29,0.7344521748366881,10000,80.0,81.0,81.02499999999998,83.0,84.0,84.0,106.0,107.0,107.0,145.0,146.0,148.0,154.0,156.0,158.0
5,1,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.3,1.0,5.5,0.3,1.0,3.0,3.0,integer_times,1,i+r,29,0.6238338850436353,10000,48.950000000000045,48.97500000000002,49.950000000000045,49.0,50.0,50.0,61.0,62.0,62.0,82.0,83.0,83.0,88.0,89.0,90.0
6,1,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.7,1.0,5.5,0.7,1.0,2.0,2.0,integer_times,1,i+r,29,0.5727956254272044,10000,62.0,63.0,63.0,66.0,66.0,66.04999999999995,81.0,82.0,82.0,109.0,110.0,111.0,118.0,119.0,120.0
7,1,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.7,1.0,5.5,0.7,1.0,3.0,3.0,integer_times,1,i+r,29,0.4145541830103624,10000,40.0,40.0,41.0,41.0,41.0,41.0,50.0,50.0,50.0,66.0,66.0,67.0,68.0,69.0,69.0
8,2,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.3,1.0,5.5,0.3,1.0,2.0,2.0,integer_times,1,i+r,29,0.5496915387040122,10000,59.0,60.0,61.0,62.0,63.0,63.0,86.0,86.0,87.0,123.0,125.0,126.0,135.0,137.0,139.0
9,2,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.3,1.0,5.5,0.3,1.0,3.0,3.0,integer_times,1,i+r,29,0.3924296737347348,10000,35.0,36.0,36.0,38.0,38.0,38.0,50.0,50.0,50.0,69.0,70.0,70.0,75.0,76.0,77.0
10,2,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.7,1.0,5.5,0.7,1.0,2.0,2.0,integer_times,1,i+r,29,0.3178252268231121,10000,47.0,47.0,47.0,48.0,49.0,49.0,66.0,66.0,67.0,93.0,94.0,95.0,99.0,101.0,102.0
11,2,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.7,1.0,5.5,0.7,1.0,3.0,3.0,integer_times,1,i+r,29,0.1730753328371785,10000,30.0,30.0,31.0,31.0,31.0,31.0,38.0,39.0,39.0,54.0,55.0,56.0,58.0,59.0,60.0
12,2,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.3,1.0,5.5,0.3,1.0,2.0,2.0,integer_times,1,i+r,29,0.5434832230084455,10000,78.0,79.0,79.0,81.0,82.0,82.0,105.0,105.0,106.0,143.0,144.0,145.0,153.0,154.0,156.0
13,2,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.3,1.0,5.5,0.3,1.0,3.0,3.0,integer_times,1,i+r,29,0.3923558364221912,10000,47.0,47.0,48.0,47.0,48.0,48.0,59.0,60.0,60.0,80.0,81.0,81.0,85.0,86.0,86.0
14,2,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.7,1.0,5.5,0.7,1.0,2.0,2.0,integer_times,1,i+r,29,0.3304767005891805,10000,61.0,61.0,61.0,63.0,63.0,63.0,79.0,79.0,79.0,106.0,107.0,108.0,114.0,115.0,117.0
15,2,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.7,1.0,5.5,0.7,1.0,3.0,3.0,integer_times,1,i+r,29,0.1714309387687463,10000,38.0,38.0,39.0,39.0,39.0,39.0,46.0,47.0,47.0,63.0,63.0,64.0,66.0,67.0,68.0
16,3,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.3,1.0,5.5,0.3,1.0,2.0,2.0,integer_times,1,i+r,29,0.4059288302738668,10000,57.0,58.0,58.0,62.0,62.0,63.0,84.0,84.0,85.0,122.0,123.0,125.0,132.0,134.0,136.0
17,3,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.3,1.0,5.5,0.3,1.0,3.0,3.0,integer_times,1,i+r,29,0.2379210486206371,10000,35.0,35.0,35.0,37.0,37.0,38.0,48.0,48.0,48.0,67.0,68.0,69.0,73.0,74.0,75.0
18,3,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.7,1.0,5.5,0.7,1.0,2.0,2.0,integer_times,1,i+r,29,0.1832734400522705,10000,44.0,45.0,45.0,48.0,48.0,49.0,61.0,62.0,62.0,90.0,91.0,92.0,98.0,99.0,101.0
19,3,0,0,0,0,3.5,4.0,0.6,3.5,4.0,0.4,5.5,0.7,1.0,5.5,0.7,1.0,3.0,3.0,integer_times,1,i+r,29,0.0701999070199906,10000,28.0,28.0,28.0,29.0,29.0,29.0,37.0,37.0,37.0,52.0,52.0,53.0,55.975000000000364,56.0,57.0
20,3,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.3,1.0,5.5,0.3,1.0,2.0,2.0,integer_times,1,i+r,29,0.4127319708715057,10000,76.0,77.0,77.0,79.0,80.0,80.0,101.0,102.0,102.0,141.0,142.0,144.0,152.0,153.0,155.97500000000036
21,3,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.3,1.0,5.5,0.3,1.0,3.0,3.0,integer_times,1,i+r,29,0.2484028560691469,10000,45.0,45.0,45.0,47.0,47.0,47.0,57.0,58.0,58.0,77.0,78.0,78.0,82.04999999999927,83.02499999999964,83.04999999999927
22,3,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.7,1.0,5.5,0.7,1.0,2.0,2.0,integer_times,1,i+r,29,0.1915925626515764,10000,59.0,59.0,60.0,61.0,61.0,61.0,76.0,76.0,76.0,102.0,103.0,103.0,110.02499999999964,111.02499999999964,112.04999999999927
23,3,0,0,0,0,3.5,4.0,0.2,3.5,4.0,0.8,5.5,0.7,1.0,5.5,0.7,1.0,3.0,3.0,integer_times,1,i+r,29,0.0712361846382465,10000,36.0,36.0,36.0,37.0,37.0,37.0,45.0,45.0,45.0,60.0,60.0,61.0,63.0,64.0,65.0
